1,Amy,Keller,636,Pemi Avenue,Divabku,WA,67619,(673) 625-3654,1,53680
2,Jesus,Wise,159,Rawa Path,Tichawsip,HI,22421,(848) 750-5181,1,180554
3,Chris,Barber,771,Wodru Center,Voruhde,AL,68046,(824) 602-8888,0,220947
4,Aiden,Byrd,647,Cuma Junction,Kefernun,SD,19229,(566) 637-6521,0,68675
5,Lee,Rowe,913,Taclow River,Wairjar,OH,52667,(467) 390-5306,1,241149
6,George,Martinez,046,File Plaza,Meboger,RI,24880,(739) 385-4266,0,19890
7,Billy,Gardner,689,Cijlu Heights,Laejdu,ID,69938,(325) 700-8762,1,184725
8,Kevin,Evans,510,Kogi Glen,Zugodzan,MD,71647,(717) 595-5348,1,128142
9,Nora,Holt,305,Pame Grove,Tanezomo,UT,67273,(276) 690-8896,0,70448
10,Walter,Neal,453,Kidub Center,Fukpobuk,DC,08126,(273) 658-8706,0,160507
11,Clifford,Gutierrez,691,Vorma Mill,Ijgowid,MD,05998,(274) 437-1750,0,179548
12,Caroline,Ray,099,Udecu River,Ovreipa,WI,78559,(713) 741-8805,1,190632
13,Chad,Fuller,742,Mamcel Mill,Peonitic,OK,38752,(454) 657-8423,0,62545
14,Rhoda,Howell,453,Mempat Junction,Evulesbo,MD,29339,(502) 558-7884,1,65043
15,Gussie,Gibbs,006,Godbo Plaza,Tapipogep,CT,93465,(530) 262-2650,1,228354
16,Alexander,Collier,534,Izahe Mill,Azserul,NE,16454,(569) 494-6064,0,10402
17,Randy,Nelson,726,Vuawi Court,Vaetre,TN,18630,(409) 717-8713,1,169973
18,Louise,Pearson,163,Denmoj Way,Ocivokoc,CT,94487,(863) 947-7215,1,16466
19,Francisco,Fields,703,Idoku Turnpike,Cezalfib,TX,38262,(473) 348-5493,1,45805
20,Lula,Bush,963,Acid Avenue,Ciptipobo,MN,09488,(758) 396-6147,0,221138
21,Nathaniel,Greene,877,Kelzon Parkway,Geevuf,HI,61275,(550) 917-8798,1,98919
22,Chad,Young,214,Foznow Court,Fasvolvos,CO,61604,(972) 944-6937,0,108348
23,Hannah,Byrd,283,Vusco Mill,Mecuzatef,MN,38736,(452) 948-6151,0,194636
24,Don,Williamson,103,Esidaj Key,Fejeiwu,ND,10877,(631) 411-3779,1,249370
25,Ronald,Gross,188,Leev Park,Orjaevi,SD,95484,(803) 925-1424,0,16913
